,sentiment,content
16769,neutral,@jmrooke  WHY AREN'T WE IN CHICAGO???????
16770,worry,nooo i cant be sick...not now! im about to go see my new nephew
16771,neutral,About to have dinner and then an evening of playing cards. Already packed and ready to head home tomorrow   Do we have to go home?
16772,fun,is going to forgo Pub Night with the wife tonight. Tough week for both of us and neither is really up for it. Plus our neighbor died
16773,neutral,@karleigh and @katiesantry there is no top 40 radio station in fresno!
16774,surprise,I was just asked by a suit where i was heading to. I didn't think i looked that much like a whore
16775,sadness,Aw .. the grillz in my background look like plaque ..
16776,surprise,@XtineSamonte  what's going on ?
16777,sadness,@Rorzshach I wish  I'm not very good at it tbh :/
16778,surprise,watching the jobros live chat .. not live though  haha.
16779,love,im nervous :/ i want @mmilanezi to gimme a bear hug
16780,sadness,@summersunrays that's sad
16781,sadness,"Hey dude who turned down a flyer, you're a poser and not nice"
16782,worry,"So much for just an oil change... Do not pass Go, do not collect $200, lose $160"
16783,sadness,@kirkfranklin @therealmarymary yall my auntie jus got n a bad car accident...pls pray with me 4 God's will 2 b done...
16784,worry,@JonathanRKnight wish you were on your way to Tampa! FL girls are missing ya!
16785,sadness,I'm so hungry
16786,sadness,"5 Mins, till the end of follow me Friday"
16787,sadness,http://twitpic.com/67s14 - Saw a family of five get out of this motor home and into laundromat to clean clothes and bedding
16788,empty,"@alikat89 Awww, that sucks. Maybe it's on Youtube somewhere?"
16789,sadness,so i got to my exam centre n they said we can't let u becuz of your sleeveless top! U cud BELIEVE that!? i had to go home
16790,surprise,nothing.. just looking for me a car. im haven no luck at all!
16791,sadness,"@LostMyHeart  hoping it'll go away... I mean I get all teary at the drop of a hat anyway, but it's been truly awful lately - full out sad"
16792,worry,@CHRISDJMOYLES Sorry to spoil it but he didn't this time
16793,relief,Just realized it is friday and b/c of a party I don't get to go racing.
16794,sadness,and now i smell pancakes...or maybe toast... or something delicious. but no one is at my place cooking
16795,worry,Santa monica bound
16796,neutral,craving coffee
16797,worry,@mitchelmusso i wish i could call you but it will cost a lot  my parents wont let me
16798,love,"Headed home, dad duty tonight. Might take the kids to the course again. Although my boys took me for $11 last night in a chipping contest"
16799,sadness,"Aw, not going to Toronto anymore."
16800,fun,wants to go swimming
16801,sadness,@CHRISDJMOYLES the justice left when DJ Talent was voted off (N)
16802,worry,Brand new is playing at the epicenter in July when I'm in NY. Jesse lacey why do you hate me?
16803,neutral,18 hours to work....*cry* i can't survive!  // Weeelcome to my wonderland *sing along*
16804,worry,@heatherjoy76 I have to figure out how this works!! I don't get it  Hope you're doing well!!!
16805,worry,@mercutiom i know! i just got off the phone with them. it will leave a Giant hole on Mill. + Regions also closed.
16806,worry,I know  I have no clean clothes either. And the washer's in the kitchen  Damn you #kitchenfire
16807,sadness,sweaty and tired from the 6 lap run.  gonna do sun run next year no matter what.
16808,neutral,@chinaablue
16809,worry,"twit, my way out of grad traffic."
16810,happiness,@fly_meaway I'm sorry hon  I know how it feels though...I'm usually crazy but at a family gathering I'd probably hold back like that also
16811,enthusiasm,@TweetTwang gotta check with the bro on that...and mine is a girl
16812,neutral,@ShesElectric_ was yeah... work in 7 hrs  how you
16813,worry,can't sleep... havent finish my homework  DAMN IT !
16814,hate,People are people...nooooo? Id never have guessed tht...idiot..im grouchy now
16815,sadness,Up was pretty good. It was kind of depressing though
16816,enthusiasm,wants to cool down
16817,worry,already crying and the movie only started like 15mins ago
16818,surprise,wtf my pic isn't showing
16819,happiness,toy story 3! june 2010. i can't wait that long.
16820,surprise,ugh... hangover. sign that i'm getting old
16821,sadness,@gengenw who knows  It makes me sad  lol
16822,neutral,"is watching big brothes big quiz    ,       rather tiredd    , but downloading a dvd so have to wait till finished till i can go to bed"
16823,neutral,I can't keep it
16824,worry,Just passed a wrecked car  hoping everyone got out OK. Finally picking up speed. Should have been in B'mpre by now.
16825,sadness,"@asdquefty Yes they are, and now they're all gone.  Did you enjoy yours?"
16826,worry,@BonusJonas Lucky. Winter is coming for us
16827,sadness,Thankful for last minute doc appointments... Baby girl has a temp of 105.+  sitting at the doc's waitin'
16828,worry,It's STILL not working!! Why not!! This is FRUSTRATING!!!
16829,neutral,I just want  to Sleep.
16830,neutral,"I seem to have run into a bit of a keychain issue.  User differs on /Library/Keychains/System.keychain, should be 501, owner is 0"
16831,sadness,usually when im gone celebs come on its so unfair
16832,sadness,"Well, I effed the iphone.  It was nice knowing you"
16833,sadness,I can't I'm on my iPhone
16834,worry,"wow, almost got involved in this big fight at school!  ah, but anyways text me? going to causin's house, plus game crazy."
16835,neutral,wishes the rain would stop so my stupid headache would go away!
16836,surprise,Justwatched the premier of Jon  Kate plus 8 andI just cant pull myself together.I cant imagine being alone with my 2 let alone 8.
16837,worry,"I am tired tired tired, I think Im getting sick."
16838,surprise,@shaylaa I am lost. Please help me find a good home.
16839,sadness,The weather is so ugly n L.A... It's really cold
16840,surprise,pulled up @ walmart aunt got out went in I fell asleep 2 hours later.... were r you?!  lol
16841,sadness,"catching the last bit of Later with jools .. last in series .. sob, cry"
16842,happiness,@dotboom  i am defiantly watching it. I was at work  when you were streaming and had to leave.
16843,sadness,"Just FYI, RUIN HOLLYWOOD IS CLOSED.  Last Friday was our Closing Night."
16844,hate,So my parents are too busy making me feel like crap to realise that I've got worse and need to see a doctor again. No sleep sucks
16845,neutral,@mitchelmusso Wish I could speak to you but Im from the UK and Im working
16846,worry,"Been sick all week and still not feeling so well, can't go to Lena's cook-out  Gunna spend some time with the fam!"
16847,worry,sorry I've been away for so long exams comin up  plz pray for me ya'll
16848,sadness,just sad that i wont be able to post my new fic this morning...
16849,worry,"@riskybizness23 sooo, u just gon cheat on me and tell everybody on twitter? I don't know if I can trust you anymore.     j/k"
16850,hate,I'm being so whiny right now I'm annoying myself  i need to get some rest tonight after Movie Night kid-sitting
16851,neutral,anyone want to buy a place on the Oregon Coast?  It is one gorgeous area and unfortunately for me it must be sold.
16852,worry,@mitchelmusso Mitchel you have no idea how much I want to call you!! but it costs loads to call from england!!!
16853,worry,Please read my blog http://amandallynn.blogspot.com/ I'm not having the best day
16854,worry,My poor lil piggy  Chuck saws it looks like a cartoon character's toe.
16855,surprise,@kyliexmonster WHAT?! i was wanting to see that show!!
16856,worry,"@Saraa_xD Si  pero parece que las personas de facebook no estan de acuerdo  (that was probably all wrong, but I tried...)"
16857,worry,eating chicken noodle soup...... its one of those days
16858,empty,@ARMS1869 im a lady and ladies don't move couches. they direct where the couches go
16859,worry,@KComer yeah &amp; when it goes wrong it's the worst feeling ever
16860,neutral,"@OMSVU ... Thanks Okiebud!  I get the message..Sorry, the content you selected is not currently available.."
16861,sadness,headache boo
16862,worry,Is sad clint hurdle got released. I liked him
16863,sadness,"wishing, i was at the michou show right now.. god. life isnt fair"
16864,love,@nattymsmith they have nice cakes  why can't I like them? Haha and you should! That's sooo gayy though
16865,happiness,"@naomijlea good job I have the track in my head, cos sadly can't access it, boo"
16866,worry,My head hurts beyond much.
16867,worry,@ kbal24 I am sorry that you are feeling that way.
16868,hate,"i'm going to sleepies, feel poorlies and pissed off  night night tweeples xxx"
16869,neutral,@oheryn drugs are bad
16870,sadness,@onlyJesus777 i was in a hospital for a week and a half pretty much on the virge of dying.
16871,worry,@ThisStarChild Did I miss the fun?
16872,worry,Why do I look so awesome in heels yet am so afraid of them?
16873,empty,"Change of plans, working inside bar tonight"
16874,love,@mitchelmusso  i would so call you if i knew what to say &amp; if it wasn't long distance    but i do love you!
16875,worry,@batendersblog she had another song out recently but it didn't get that much play
16876,neutral,@nkangel74 Just ignore it.....and get sum rest...get rid of that headache
16877,sadness,@kbal24 I am sorry that you are feeling that way.
16878,surprise,omg i am in so much pain  ouchies
16879,worry,"My debit card is going the same way as my credit card, it's snapping"
16880,sadness,"I just broke a bottle, I should probably focus on work instead of thinking of more songgoeswrongs"
16881,neutral,@sir_ryan Just...it's quiet a bit of it tbh xD
16882,neutral,fully understands why these cats have cabin fever! Holy crap.. I really wanna be outside!!
16883,neutral,chili cheese fries a bad idea for lunch..
16884,relief,@Jasiurl YAEH! THANK GOD IM HOME!...it suekd and we were kicked out of a church.
16885,worry,@XxHollyJoannexX im home alone in the house and imma scared  x
16886,worry,"@jgoode impressive fever!  best wishes to her, hope it's nothing serious"
16887,worry,"okay, need to hit the sack.  i gotta wake up in like 5 hours   goodnight everyone!"
16888,neutral,@and1001 Iï¿½m good! You coming on just as Iï¿½m off to drive home...
16889,worry,Just broke my favorite necklace  superglue?
16890,worry,I'm quite afraid to string now since I don't have any .024 wire use
16891,neutral,@QueenPenguin i'm not being mean
16892,neutral,has a mallory-weiss tear in her stomach and gastritis...  needless to say my stomach is killing me from my scope today
16893,relief,"K, just finished my last 2 clients for the night. Going home alone  Thats ok I need to be alone, must find inner peace."
16894,neutral,"Malibu make me sleepy  and he doesn't want to text me when i'm drinking, silly him. Maybe i'll ring you later ;-)"
16895,worry,@mitchelmusso I aint got no money to buy any cred to call u  and am in lONDON
16896,worry,"@thethermals sorry guys, the WAVVES show was canceled, they missed their flight"
16897,worry,@iesb I'm so sorry to hear that you're in the hospital.  Hope you'll be better soon.
16898,neutral,@caitymarie I'm not off till 930
16899,sadness,@morrgaan oh no  this week is just a bad one for everyone. i love you &amp; your pretty face &amp; youre going to do fantastic in concert tonight
16900,worry,@neon_lights aw what's wrong?
16901,neutral,I wanna go to the Borgata tonight if Rich is playing.
16902,worry,now i dont feel so good
16903,neutral,@MiizLushious yepp
16904,worry,/me really sad that /me can't go to Java One
16905,worry,"@AndreaKoeln hmm, okayy, im really sorry to hear about it  why do you thikn she would have done that? :S"
16906,hate,#whyareyoustillhere One Tree Hill!!! [[ They cancelled my shows The Game &amp; Everybody Hates Chris n dont NOBODY WATCH U N-E-MORE!!!  ]]
16907,worry,@Audioprincess  Nice. I just have water haha. Lucky you! I still have most of my exams to go  Yeah I'm okay just worried about exams :/
16908,neutral,I am the queen of losing things. Important things like keycards and bus passes.
16909,sadness,Waaaaaaaa they kicked us out of the bank. Getting it until monday  OMG Chilito
16910,neutral,@mhawthorne19 Oh no! I totally forgot he played today.
16911,worry,@turnitgrey I left mine in music...i think i don't have a camera anymore
16912,empty,Wtf was that crap 5 mins before the marked closed...FAZ you cost me 4 grand
16913,sadness,@narrated it's kool...it's his job i blame
16914,fun,"RIP Attack Attack!  MTV headbangersball? really? and now you are inside the &quot;goth&quot; genre, wow, I'll still be seein you at @warped09 :/"
16915,neutral,@werewolfembry heyy
16916,empty,I can't upload a picture. Everything's too big
16917,sadness,"Uh. Finally home, but completely wiped."
16918,neutral,Can't I mix and match  Dumb drive in!
16919,worry,too bad i'm @ work  ...
16920,fun,"@LeeGazeprophets white pointy shoes haha, and ah you got me excited about the enw drummer  youre mean!"
16921,worry,"@MrsDDoubleU no I want too, but a couple of people said it wasnt good"
16922,sadness,I want to cry at the thought of the NBA season being almost over  NEXT YEAR MIAMI!!!!!!!!!!!!
16923,empty,"@Chells oh, i have books on that but no practical experience"
16924,neutral,12seconds - Friday Night Update: @siskita has left the city.  http://tiny12.tv/I3KS8
16925,neutral,"I want tuna &amp; salmon sashimi, B.C. rolls and dragon eye."
16926,neutral,"@sinspired Yea, it's my road-warrior / workaholic lifestyle..."
16927,sadness,@mitchelmusso you didnt answer
16928,happiness,"@mysolis Aw, sorry ur day sucked!  Did u see my post abt car issues? LOL I think it's safe to say it can only get better tho. Beer-thirty?"
16929,love,I seriously want a pug  Buy me one?
16930,neutral,@tarneisha boo  you can come over and we'll watch telenovelas and braid each others hair.
16931,neutral,17 Again was actually quite good considering...off to bed now. Long day tomorrow. June 12th...please come soon (but not too soon)
16932,worry,"hey Tweeties, my auntie jus got n a bad car accident...pls keep her yall prayers  ...thanx"
16933,happiness,"@vicki_xx :O really  well if u want, we can go 2gether next yr?"
16934,neutral,I think I just found my purse soulmate. But its not in my budget
16935,worry,poor bella is in the ER with her first and second ear infection since both ears are infected. Her screams were blood curdling!
16936,worry,Not ready for this year to end
16937,empty,It is possible to frown while eating a Frosty
16938,worry,Oh no she stopped!
16939,relief,"white pointy shoes haha, and ah you got me excited about the new drummer  youre mean"
16940,sadness,Hubby went to pick up  my Fringe comics today @ store by his work. THAT store was out of business too. No comix in Houston. Have 2 Web.
16941,empty,@brian_jenkins nothing yet
16942,worry,Headache is coming on
16943,love,@thechrisjulian awww
16944,fun,DotA is an addiction...i waste 6-7 hours playing dota
16945,sadness,aaawww im soooOOooo tired today.. i dont feel good.. i dont wanna go to work wah..  but yeah im goin to work in a few mins. til closing..
16946,sadness,I miss her alot and its only been one day
16947,surprise,"Thought i saw the a-trak van, turns out its the Alcohol- TEAM van."
16948,worry,@mrsmicah I'm glad your inside too. Take good care of yourself. An event in Rising Sun?  Too bad you're filling ill or we might see you
16949,love,@KhloeKardashian too bad we can catch it here in brazil  but good luck with your show! you're amazing!
16950,happiness,Meeting up with Karen and the boys for some drinks at The Dock!!!  All I wanna do is drink though..    fuck it like Andrea said! Haha
16951,worry,flipping out on my hairloss....gotta go to the doc.
16952,neutral,@kathryntft Ahh dang of course it had to do that  She better e-mail you back fast!
16953,hate,"OMG, Tony Hawk's motion on the nintendo DS sucks ass!"
16954,worry,These messages are teasing me! It isnt fair.
16955,worry,Scared  waiting for the call
16956,sadness,so I'm kinda pissed that Boys Like Girls is gonna be at Kentucky Kingdom on a date i already have a show
16957,hate,@zanylikethat Awwwww.
16958,hate,My new site is stuck in the Google sandpit now  Test of my skills until it comes back out!
16959,happiness,liz just left  aww it was so good to see her.
16960,empty,looks like it got cloudy again outside! and i have nothing to do tonight! boo friday
16961,hate,ahhhhh fuck it..... none of my friends want to see it... and they don't wanna chill tonight... so its just me myself and i
16962,worry,It's starting to look like the @ScifiLeague website may not happen in any form
16963,love,@janetfraser so true   sad to say.  I'm glad you'll be with me to be my support group ;)
16964,sadness,workin.. still lol i wanted to go to the spring game
16965,neutral,So physical therapy
16966,worry,@Victoriouz tres rude VICTOR!  :\
16967,worry,@arronthomas whats wrong babe?  x
16968,love,@sonyasunshine  i love you!
16969,worry,i think the food i ate made me sick.. i no feel so good
16970,worry,Ahhhhhh I got stitches  I seriously cant wait to go to the beach! SUMMER HURRY UP!!!!!!
16971,worry,"I dont like seeing my best friend cry, it breaks my heart and I dont know what to do or say"
16972,worry,Hadnt cried in such a long time
16973,sadness,im really sleepy and i want to go to bed...but its upstairs and its a mess and i know im gonna have to clean it  nooooo
16974,worry,there are some really scary noises coming from outside
16975,worry,I can't take it anymore
16976,worry,"ok, i am finally starting to hit a draw, but now my short game has gone to crap!"
16977,worry,"wish I was feeling better...I've been holding a potential cold at bay for a few days now &amp; I think it is winning...aches, cough"
16978,surprise,@jkocurek @mikeflynn - really? What a waste of money then
16979,boredom,"We are on the slowest train ever, it stops everywhere. Missed a quick train by a few minutes"
16980,sadness,@Galaraza stop being mean to me!! ur hurting my feelings
16981,sadness,Rain delay
16982,fun,@joe_g1986 a price drop would be nice  I want another one for a backup/blu-ray player.
16983,sadness,@flutters_bye no you didn't send pics. I was supposed to go with but shit got all fucked up.
16984,neutral,@rosaacosta why don't u use twitpic? none of ur pics show up on my phone
16985,neutral,I can't find my camera
16986,sadness,My Spanish = crap
16987,hate,"@NikkiCSWS OWW! that girl needs her meds. I feel her, though. Adam got cheated"
16988,worry,totally having austin powers withdrawl symptons and Darrius withdrawl symptoms and mommy and minne withdrawl syamptoms.
16989,sadness,@buzzup why would you want a clone? Unboxed a new 24&quot; iMac last night and it's beautiful! Too bad it's not mine
16990,sadness,Im heading home. gotta work sunday.
16991,relief,@tatianafrosario omg wow  I hope everything is ok now
16992,worry,Anyone want to buy me this anthropomorphic planter? http://tinyurl.com/m6sru3 Only available till the 31st
16993,fun,@xoxo_emily  i wish i was there to hear that!
16994,surprise,is being a horrible twitter-er. Moved in to my Houston apartment and awaiting work starting on Monday. Real world=now
16995,worry,So exhausted
16996,worry,@eeeethannnn I do NOT. I RARELY dye it at all.  the red was the first in aaaagggessss. My hair just hates me.
16997,fun,"Rehearsal is done  we had SO MUCH FUUN. hide&amp;seek tag and we learned BOMB DANCES , going home and doing hw maybe!"
16998,worry,"@jenscloset WOOHOO!!!!! nothing says a hot date night than a squeegee! LOL i'm watching Dora on noggin with my 2yr girl, hubs is at work"
16999,worry,"Has a bad feeling that this time next yr, her fav musical may no longer be on the West End"
17000,worry,"@dunnybrasco Im home, phone died thou"
17001,worry,it's the weekend but 9 year old is grounded which makes me grounded too
17002,worry,@JustYassy it wont work for me
17003,hate,I got dropped froma coupla ppl that were following me  Damn Detroit Fans!!!
17004,worry,@mitchelmusso I cant call you from Europe
17005,worry,@LLCOOLDAVE Trying to fix my background
17006,worry,@pbreaze I heard from @ricklondon &amp; @thehilliers you're away. I miss you too  Look forward to tweeting with you when you return.
17007,empty,@MrsMcFlyGrimmy how was your day ? boredom stuck my head
17008,sadness,had 2 leave the mrs @sweetbullshit cuz i have to go 2 work  really didn't want to.
17009,neutral,@ceidiog I'm not in America! I'm not going anymore  You phoned earlier?
17010,worry,"aw man! have to go, only got to listen to the block party for like 10 mins"
17011,worry,@sam_h786 as ur coming on to here im just off to bed  hows ur day been? x
17012,empty,Midnight ice-cream weather! So damn bored
17013,hate,"I'm so sick, it's ridiculous."
17014,sadness,@billohbill SS &amp; i r @ the devon horse show. gettin' mostly rained out. lots of events have ben cancelled incl the coaches
17015,hate,Listening to shit music.
17016,love,just spent way too much money. . . On organic shampoo
17017,empty,"Friday evening......what to do, what to do.  I have to idea."
17018,sadness,@RetroRewind a buff guy.....unfortunatly alot of people dont know Danny's name either which is sad   Sophie is so sweet
17019,sadness,Im mad cuz i cant get any picture to work.
17020,sadness,"@iHolleeee i miss you too; i need to talk to you, i keep screwing up ..  lovee u !"
17021,worry,@souljaboytellem hell yea its hot here  i miss cali
17022,anger,at famous dave's with my mom. so hungry.
17023,worry,I miss the seniors already
17024,surprise,I want a new lappy
17025,worry,@fallenfrommars yeah! but too late hun  lol
17026,sadness,in desperate need of some tweets to cheer me up
17027,worry,@oxEmalieexo: Lol it went okay! As far as I can tell . But then I had to do a test today for geo and I was all zoned out and got like 65%
17028,fun,@DomCorleone  oh hell yeah lol. im a vegetarian tho but i still cooks the mean =X im a traitor
17029,sadness,"@kvbuckley I don't know enough about #Sotomayor, but she made a big boo-boo talking about making law.  Doesn't know what 3 branches do?"
17030,sadness,We lost a peacock chick this morning
17031,sadness,No free ice cream though
17032,love,"Watching NHL playoff Game1 tomorrow night if anyone is interested, and I know that none of you are."
17033,worry,@fiddlecub Guessing that's a question to everyone. I'm struggling to finish my last university assignment before I can start my summer
17034,worry,NEED A JOB ASAP...JUST GOT LAID OFF AND IT SUCKS
17035,worry,"TWITTER WILL NOT UPLOAD MY ICON PICTURE  it hates me. Eff this, i'll upload it later"
17036,neutral,@enterbelladonna hah i knew i didnt have a chance
17037,happiness,people with mustaches get super powers and mustaches. no fair.
17038,worry,Sunburn is really bad now. Regretting sitting in the sun without suncream now
17039,worry,Need some coffee... Getting serious withdrawal symptoms
17040,neutral,Anyone want to buy me this anthropomorphic planter called Domsai by Matteo Cibic? http://tinyurl.com/m6sru3 Only available till the 31st
17041,worry,"At The Only with @camfinlayson and @momotoronto, but not with @MoxieGarrett."
17042,sadness,aw how to lose a guy in ten days  &lt;3
17043,sadness,@Flash_Forward Poor dead Josh.  http://bit.ly/JKpHn Please leave your messages of condolences there. #boy #rip ||| That's sad.
17044,worry,"i like how, no matter how much fun i'm having, i need a hug, a bowl of ramen, and a comfy blanket as soon as i get home."
17045,neutral,"@imseth no, not yet  i have 3 weeks left!! :O do you have summer holidays now?"
17046,neutral,@donomo  is easier this way in my phone... I will twittpic from my pc later on I did it this morning with p. Diddy pic
17047,worry,"By @nikhilbhaskaran Drove a #-mazda #RX8 today and boy, that car is fun! Sadly though, I don't find my car that much fun any more"
17048,worry,@LaurenConrad mmmm lauren conrad eeeeep im going to miss the hills
17049,neutral,"Anton!Chekov has his own youtube?! Where have you been all my life?! Well, at least til I 1st saw ST XI a few wks ago, no recent updates"
17050,neutral,@argonman ouch.
17051,worry,@jesamine Here's a more appropriate @ tweet... is everything ok  Your last 3 days of tweets don't paint a good picture :-C
17052,sadness,"Today is just not my day. I can't seem to feel any better. If i dont eat, im hungry. If i do eat, i feel like im gonna be sick. Blah"
17053,neutral,@AsheyPooh aaahh i know!! i was spose to but i had to take my dad to the airport.  next weeek fasho!
17054,empty,i think i have a fever
17055,boredom,@jambomb oh that looks boring  and even more boring you have an exam on a saturday
17056,worry,Whoa. UP is sad.
17057,love,Sick. With a flu like thing.
17058,neutral,@mitchelmusso PLEASE LET ME TALK TO YOU!
17059,neutral,@NiaBassett she's just finished!  The Pretenders now. x
17060,sadness,Sad that when fitness center reopens will not have our Zumba class anymore.  Just found out today on our last class before closure.
17061,neutral,I'm new at this and I don't have any friends now!  please comment !
17062,sadness,Truck full of silver bars imploded on itself.  Delayed us an hour and we didn't  even get a bar for our troubles.  No photo
17063,worry,@b0nk T ere is a visio document but itï¿½s continuously changing until now.
17064,neutral,@JustYassy i did  i dont no
17065,neutral,Oh and i almost forgot i have to take my lip ring out for water polo season
17066,love,such a good day!! even though my so called friends did try to row away from me  but god i love em :p
17067,sadness,dont get to see my boys tomorroww.im sad
17068,neutral,@Saraa_xD What I TRIED to say was 'it seems like the people of Facebook don't agree'... I guess I fail  -cries-
17069,empty,@Elixabef I hear you   Any time earlier than 11am is just mean!
17070,worry,ughhh my leg is still cramping from my panic attack outside ULU this morning   bloody hurts!!
17071,sadness,"Had some pliers blow up in my face today. My mistake, killed the wrong breaker. Wires connected on the pliers, boom. Big chunk gone."
17072,worry,"In cafe management, the end of the month is nothing but numbers. My arty little head hurts from finding discrepencies"
17073,fun,Ohhhhh what a line
17074,happiness,@jenniferdodd I'm out of town next week   We'll have to party when I get back. Happy early Birthday!
17075,neutral,@MileyIsAmazing1  take tylenol or advil? whatever one i never get headaches so i dont know which is better
17076,hate,"Dammit, more money to spend on iPhone apps... haven't finished Wolfenstein yet  http://bit.ly/Othhv"
17077,neutral,"my camera's being a doucheeee, it stopped working"
17078,boredom,tired as fuck. it's pissing down with rain. i miss summer
17079,neutral,@itschristablack aaaa i cant go to his pagee  It really exist?
17080,worry,they aren't selling jamba juice at my school today  they're going to sell it next week. on monday.
17081,sadness,"Everytime still holds horrible, horrible memories for me though."
17082,neutral,@melodyxxx boooo!!! I bet it was a nice wallet too
17083,sadness,@SCHATJE TY. Just a long tiring day filled with expensive plumbers and work  needed CALGON. Hope you &amp; @madberry have an AWESOME weekend!
17084,surprise,@KidFury I dont see it? where do u see it listed at cause I dont
17085,worry,"getting ready... omgosh, so nervous"
17086,happiness,@Tatylicious Hey chick!  When are we going to JA to pick up some hot guys and eat Jerk pork and festival? Well you already have a hot guy
17087,sadness,"@Bellabellini - Yeah I know they are fuck annoying with that... But it,s such good promo... I lost some contacts for business in there"
17088,neutral,actually I could do with going to weight watchers
17089,worry,Wishing Adam wasn't at work
17090,worry,Still at work whaaaaaaaahhhh
17091,neutral,@AlanCarr i was ment 2 c u tonyt but my frend was l8 n wen we got ther they wernt letin priority tickets in!  i'll def be aplyin agen tho!
17092,worry,@Mitchelmusso: Am getting upset listening to the say now  I want to speak to you Mitchel but my darn phone got no money on x
17093,sadness,@KeLauLi I'm so sad right now.
17094,empty,my bf had to go to her dads for the week end. i will have 2 full days of bordom.
17095,sadness,Looking at my daughters baby pictures makes my heart hurt
17096,love,@chully LOL too bad he's taken!!!!!!!
17097,worry,It is 00:03 I'm Wrecked  I'M Hungry &amp; I have to get up early. Not the perfect Fri night LOL night
17098,sadness,The icecream truck never comes to my house
17099,neutral,@omgcorrine I'm having the same problem
17100,worry,"I miss my closest freind,Shirley, She went to France for the summer  I miss you Shirley!!!!"
17101,sadness,@Jtay1995 It's finally summer! Unforunately I can't come see you...it'll be a while before I see all of y'all again.  Tell emm I said hi!
17102,worry,It's so hot tonight  ugh gross.
17103,hate,errr....I don't want to go sit in the heat and watch a high school graduation.
17104,neutral,Avoided cinder blocks! Safe in NY area.. But Dantas and porky upset beavs gone
17105,worry,I wish I could spend my last weekend as a high school student in burbank with everyone and not fly off to dc
17106,sadness,Just got home from the hospital.... i have another clot in my leg
17107,worry,@hogaan can you stop working so i can have someone to play with !
17108,neutral,@GreenJeanine FAILlllllllll  whenever ur freee then?
17109,empty,I'm leaving work now. Trying to decide if I return on Sunday afternoon or Monday 4 am to meet a noon (UK time) deadline.
17110,happiness,I am so glad it's Friday. I just got off work and I'm so tired.
17111,worry,the fact my room is so hot is making me feel sick
17112,sadness,"@megaman51 Yeah, it's work. It's been busy all day and I'm tired and hungry."
17113,worry,Wish I brought some warmer clothes. It's chilly here.  only negative thing about the trip (&amp; the no sun which is connected to chilliness)
17114,neutral,@lulembo me neither
17115,sadness,@nathanblevins  Maybe next time. Can't be away this weekend as much as I'd like to jump in the car and go. ::pout::
17116,sadness,"@dougiemcfly Have a great show Doug, have fun. Im sorry that I wont be there to watch you"
17117,worry,@azandiaMJBB Oh no! Dreadful thought! Won't you get to spend any time blipping at all next week then?
17118,neutral,@Fresh_and_Easy when will these stores in Sacramento open? Been waiting and nothing
17119,hate,@johnmaine ahh i wish you guys would come to a hot topic near me.
17120,hate,Pissed at you @KatieHanrahan  http://myloc.me/21CU
17121,sadness,Listening to: Sweet Talk 101 - Cute Is What We Aim For /// Considering taking up the GameBoy Color again. I miss chiptune.
17122,worry,What happened to my early night? Am about to turn into a pumpkin
17123,anger,"@maddsie Thanks, none close to me."
17124,surprise,Im home where i am about 2 drink alone.
17125,sadness,JoBo's tired of getting off work at 7
17126,neutral,"Dang, I need a bed in the bay area Monday / Tuesday night  Anyone able to help out?"
17127,boredom,is not liking the online livebox right now. Internet is dead.
17128,sadness,bed rest for all weekend and next week  neomonia suck
17129,neutral,@YakfisherNet no way to comment on site unless you are a member
17130,sadness,I'm sad Twits!  I'm going to miss @epiphanygirl musiq soulchild and anthony hamilton! Ugggghhhh I LOVE them!
17131,sadness,"sigh.. stayed up late cause was on a role w/ assessment, now I'm so tired my eyes r stinging &amp; my head hurts.. &amp; I still need 500 words"
17132,relief,@DizzyMalfoy ouchie  Did u take some Excedrine? Thats the ONLY thing that kills my headaches FAST!
17133,sadness,Soooo bummed I'm missing the blockparty again! Haven't been able to get the app to listen on my iPhone!!
17134,neutral,Coming to the end of my vacation.
17135,sadness,@SpringWestEnd i cant believe you are closing 2moro and ive never had a chance to see the show  Good luck to everyone - you are all stars!
17136,sadness,First sports banquet without katie
17137,neutral,@ashleepham: just the dinner
17138,surprise,@tracecyrus plz dont fall in love with tokyo and never come home
17139,sadness,"Well I guess I'm not heading out to LA this weekend, Doubt I'll get to go to the PS Blog Meet and Greet"
17140,neutral,"@NctrnlBst @dkmashino I could go for some Lulu's or Slanted Door right about now.  Tomorrow is the Farmer's Market, right?"
17141,relief,"@sheelovewood aaaau thanks gi  , I really really love u.Thanks for being a really great friend.And forgiveme if i leave you sometime, ?"
17142,sadness,sitting at home being bored.......
17143,neutral,Kimberlee Hatch!!!!!!! I miss you
17144,worry,Now have an unpleasant talk w/n-laws 2 look 4ward 2....
17145,neutral,@dmafiax i know...
17146,worry,"@Mcpattz ouch, thats your achy back...so sorry ... i didnt mean to cause you pain"
17147,sadness,Apparently I'm not meant to take dance lessons here
17148,sadness,I'm headed home.. Sea world closed early
17149,hate,Note 2 all twoloers: neva stay @ a candlelight suites shower is slow and the toilet sux and the bed is tiny!
17150,sadness,"@jcubed1 Dang! Of course, I'm just jealous 'cuz I didn't think of it first"
17151,boredom,Just got home from the BEA &amp; it was kinda boring (2 me) this year  but hung out with some GREAT authors &amp; co-workers!
17152,fun,"@ greengoo: Haha, I don't have any  I have decided to see if making a grilled cheese on a George Foreman would work well..."
