Show Number,Air Date,Round,Category,Value,Question,Answer
3730,2000-11-17,Jeopardy!,I PROTEST!,$500,Anti-war protests at the 1968 Democratic Convention in this city led to a bloody police crackdown,Chicago
6178,2011-06-22,Jeopardy!,STUFF FOR YOUR COMPUTER?,$600,"Casement, bow & double-hung are these",windows
3092,1998-01-27,Jeopardy!,COUNTRIES,$500,"Alphabetically, it's first among the Balkan countries",Albania
1421,1990-11-05,Jeopardy!,PETS,$100,"The poodle probably originated in Germany, though it's most associated with this country",France
6217,2011-10-04,Double Jeopardy!,ANCIENT GREECE,$800,The Helots were the unfree peasants of this militaristic city-state,Sparta
5546,2008-10-20,Jeopardy!,JEOPARDY! DITLOIDS,$800,A famous British address: N 10 D S,Number 10 Downing Street
4619,2004-10-07,Double Jeopardy!,"THIS MOVIE IS ""DEAD""",$800,1982: Steve Martin innovatively interacts with clips from classic film noir movies,Dead Men Don't Wear Plaid
4593,2004-07-21,Double Jeopardy!,CHARACTERS IN MUSICALS,$1600,"Natasha Richardson, Molly Ringwald & Brooke Shields each played this role in ""Cabaret"" on Broadway",Sally Bowles
1274,1990-03-01,Jeopardy!,SONG LYRICS,$500,"John Denver's 2-word description of West Virginia in the 1st line of ""Take Me Home, Country Roads""",Almost Heaven
3042,1997-11-18,Double Jeopardy!,READ ANY GOOD BOOKS?,$600,"A ""Swift"" read at about 300 pages, this 1726 novel sets sail to Laputa & Lilliput","""Gulliver's Travels"""
2052,1993-07-06,Jeopardy!,AROUND THE WORLD,$300,Prince Henry the Navigator's tomb is in the church of Santa Maria da Vitoria in Batalha in this country,Portugal
4531,2004-04-26,Double Jeopardy!,CAPITAL CITY MUSEUMS,$1600,The Pushkin Museum of Fine Arts,Moscow
4900,2005-12-23,Double Jeopardy!,THE OFFICE,$1600,"Founded in 1919, this Houston-based government contractor sure seems to be in the news a lot lately",Halliburton
2914,1997-04-10,Final Jeopardy!,NAVAL HEROES,None,"In a difficult situation George Dewey would ask himself, what would this man, his former commander, do?",Admiral David Farragut
4323,2003-05-21,Jeopardy!,DO YOU HEAR SOMETHING?,$400,You might hear these on your way to Grandmother's house for the holidays,sleigh bells
5285,2007-07-27,Jeopardy!,AROUND NEW YORK STATE,$600,The Maid of the Mist is a fixture at this natural wonder located about 20 miles north of Buffalo,Niagara Falls
6009,2010-10-28,Jeopardy!,STATE MASHUPS BY CITIES,$200,Des Moines plus Walla Walla,IoWashington
3374,1999-04-15,Jeopardy!,SAINTS,$300,"St. Ambrose said, ""If you are at"" this city ""live in (its) style:...elsewhere live as they live elsewhere""",Rome
4817,2005-07-12,Double Jeopardy!,IT'S GREEK CUISINE TO ME,$1600,"(<a href=""http://www.j-archive.com/media/2005-07-12_DJ_17.jpg"" target=""_blank"">Sarah of the Clue Crew reports from a kitchen in Greece.</a>) To make baklava, you'll need some of these tissue-thin layers of pastry dough, whose name is from the Greek for ""leaf""",phyllo
5039,2006-07-06,Jeopardy!,MOVIES BEFORE & AFTER,$400,Peter Parker spins a web of intrigue & help Denzel Washington protect Dakota Fanning,Spider-Man on Fire
1890,1992-11-20,Jeopardy!,NORTH & SOUTH,$900,In 1861 this social reformer was appointed Union Superintendent of Nurses at age 59,Dorothea Dix
2807,1996-11-12,Double Jeopardy!,ART,$1000,"This Englishman painted a ""Girl with Pigs"" as well as ""The Blue Boy""",Thomas Gainsborough
4156,2002-09-30,Double Jeopardy!,GIRL OF THE GOLDEN WEST,$800,"Montana journalist Dorothy M. Johnson wrote the later-filmed story ""The Man Who Shot"" him",Liberty Valance
3845,2001-04-27,Jeopardy!,C'EST CHEESE!,$100,Americans refer to Emmentaler as this,Swiss cheese
4713,2005-02-16,Jeopardy!,1905,$1000,June 13: Prime Minister Delyannis of this Mediterranean country is assassinated,Greece
4977,2006-04-11,Jeopardy!,SUPER BOWL MVPs,$400,In Super Bowl XXXIII this Bronco won his first MVP award in the last year of his 16-year career,John Elway
1659,1991-11-14,Double Jeopardy!,OKLAHOMA,$400,"This cowboy humorist is buried at a shrine in Claremore, near his birthplace",Will Rogers
5989,2010-09-30,Jeopardy!,OPRAH'S AHA! MOMENTS,$800,"(<a href=""http://www.j-archive.com/media/2010-09-30_J_02.jpg"" target=""_blank"">Oprah reads the clue from a chair.</a>)  An aha! moment is grasping something for the first time--I could see it in this former ""Growing Pains"" actress when she realized her drunk driving arrest was a sign she needed to listen to her instincts",Tracey Gold
4551,2004-05-24,Jeopardy!,GET YOUR PHIL,$200,In 1984 Philip Michael Thomas began playing Ricardo Tubbs on this TV show,Miami Vice
4877,2005-11-22,Double Jeopardy!,ALSO A STATE CAPITAL,$400,English cliff site,Dover
3,1984-09-12,Double Jeopardy!,WORLD OF FOOD,$800,"French for ""sour wine"", one variety is literally just that",vinegar
4258,2003-02-19,Jeopardy!,A CAPITAL IDEA,$400,Hmm -- the National Pawn Shop in this city was built on the site of the palace where Montezuma was killed,Mexico City
5198,2007-03-28,Double Jeopardy!,THE WILD & WOOLLY 1800s,$1600,"In 1882 Lawyer Samuel Dodd found that to control companies in several states, Standard Oil could form these",monopolies (or trusts)
739,1987-11-19,Double Jeopardy!,IDAHOANS,$200,"""Encyclopedia Americana"" says this guide of Lewis and Clark lived to about one hundred while the ""Britannica"" says she died at twenty-six",Sacajawea (Bird Woman)
3644,2000-06-08,Jeopardy!,I'LL TAKE MANHATTAN,$500,You'll feel like a diplomat when you eat in the delegates' dining room in this international organization's HQ,United Nations
59,1984-11-29,Jeopardy!,SPORT OF KINGS,$100,The pari-mutuel system lets you do it legally,bet on horses
3498,1999-11-17,Jeopardy!,COUNTRIES BY COLLEGE,$100,"The University of Sunderland, the University of Sheffield, Oxford University",England
5837,2010-01-19,Jeopardy!,"MAN, OMAN!",$200,It's the official language of Oman,Arabic
5762,2009-10-06,Jeopardy!,FASHION STATEMENTS,$600,A clothing store mannequin probably inspired this 2-word phrase for a pompous person,a stuffed shirt
5146,2007-01-15,Jeopardy!,AFRICAN-AMERICANA,$800,"This southern city's convention center is named for Ernest Morial, the city's first African-American mayor",New Orleans
4341,2003-06-16,Jeopardy!,AN APPLE A DAY,$200,These sour wild apples are usually less than 2 inches in diameter,crabapples
4363,2003-07-16,Double Jeopardy!,"""P""SCIENCE & MEDICINE",$2000,"This subatomic particle, which has no electric charge, consists of a quark & an antiquark",psi particle
1799,1992-05-28,Jeopardy!,SPORTS FIGURES,$500,"After retiring from tennis, he wrote ""A Hard Road to Glory"", a study of African-American athletes",Arthur Ashe
6076,2011-01-31,Double Jeopardy!,MY MICHELLE,$1200,"In 2002, at age 12, she became the youngest golfer ever to qualify for an LPGA event",Michelle Wie
5847,2010-02-02,Jeopardy!,TV TIME,$200,"It's the profession at the center of ""Mercy"" and ""HawthoRNe""",nursing
1147,1989-09-05,Jeopardy!,FILMS OF THE '70S,$100,"In a 1977 film, Diane Keaton was ""Looking For"" him",Mr. Goodbar
5667,2009-04-07,Jeopardy!,PRESIDENTIAL POTENT POTABLES,$800,"The wine tab for this Virginian president for one year in office was $7,597",(Thomas) Jefferson
3002,1997-09-23,Double Jeopardy!,LANGUAGES,$600,In 1990 Belarusian replaced this as the official language of Belarus,Russian
3660,2000-06-30,Double Jeopardy!,ARTHUR MILLER,$1000,"Play title that completes the line ""Sure, he was my son.  But I think to him they were...""","""All My Sons"""
3698,2000-10-04,Jeopardy!,MEASURING UP,$100,There are 3 teaspoons in this unit of measure,tablespoon
1657,1991-11-12,Double Jeopardy!,1990,$800,In June 1990 Alberto Fujimori was elected president of this South American country,Peru
5574,2008-11-27,Jeopardy!,PASS THE TURKEY,$600,"Banned by Ataturk for political reasons, this hat with a 3-letter name was once the national hat of Turkish men",a fez
2815,1996-11-22,Double Jeopardy!,PHOTOGRAPHY,$200,This telegraph pioneer introduced Mathew Brady to photography in the 1840s,Samuel Morse
2352,1994-11-22,Double Jeopardy!,BACK OF THE BOOK,$600,"In the back of a geometry book, you may find these lists of trigonometric ratios or square roots",Tables
4938,2006-02-15,Double Jeopardy!,ESTATE QUARTERS,$1200,The North Room at Sagamore Hill estate displays this president's Rough Rider hat,Teddy Roosevelt
5753,2009-09-23,Jeopardy!,REMEMBERING MICHAEL JACKSON,$800,"Say the name of this legend with whom Jackson recorded the No. 1 hit ""Say Say Say""",Paul McCartney
4042,2002-03-12,Jeopardy!,CLUB ME!,$200,The Cleopatra's Barge nightclub has a swaying dance floor that really rocks this Roman-themed Vegas casino,Caesar's Palace
3317,1999-01-26,Double Jeopardy!,THE METRIC SYSTEM,$200,"The Kelvin is the base unit for this, though most people use degrees",Temperature
5576,2008-12-01,Double Jeopardy!,6-WORD BEST PICTURE PLOTS,$1200,"Suicidal soldier sees Sioux, sights stampede",Dances with Wolves
3302,1999-01-05,Double Jeopardy!,CATCHPHRASES,$1000,"This tobacco-related line beginning with ""sometimes"" is attributed to Sigmund Freud","""Sometimes a cigar is just a cigar"""
1307,1990-04-17,Jeopardy!,"""BLUE"" MOVIES",$200,"In this 1930 film Marlene Dietrich played Lola-Lola, a sultry cabaret singer","""The Blue Angel"""
5307,2007-10-09,Jeopardy!,YOUR NEW CLASS SCHEDULE,$200,"History: Study up on this ship that anchored in Plymouth Harbor on Dec. 26, 1620",the Mayflower
5047,2006-07-18,Double Jeopardy!,19th CENTURY AMERICA,$400,"This Akron-based company got rolling in 1898, making bicycle & carriage tires, horseshoe pads, & yes, poker chips",Goodyear
5130,2006-12-22,Double Jeopardy!,JUST DESSERTS,$2000,It's the 4-letter Spanish equivalent of creme caramel,flan
5202,2007-04-03,Jeopardy!,DIFFERENT STOKES,$800,"Despite his name, this worker in a steam locomotive doesn't douse flames, he stokes them in the boiler",the fireman
308,1985-11-13,Jeopardy!,SODA POP QUIZ,$500,It was originally called bib-label lithiated lemon-lime soda,7-UP
3020,1997-10-17,Double Jeopardy!,THEATER ALFRESCO,$600,"If you're in this Scandinavian country in July, don't miss the ever-popular ""St. Olav Play"" in Stiklestad",Norway
5158,2007-01-31,Final Jeopardy!,BRITISH ROYAL NAMES,None,Thomas Malory's posthumous 1485 bestseller inspired this first name of a prince born in 1486,Arthur
4782,2005-05-24,Double Jeopardy!,DESPERATE HOUSEFLIES,$400,"This poet ""heard a fly buzz--when I died"", ""with blue--uncertain stumbling buzz--between the light--and me--""",Emily Dickinson
5767,2009-10-13,Jeopardy!,MUSEUMS BY CITY,$200,"Byzantine Museum, Acropolis Museum",Athens
4865,2005-11-04,Double Jeopardy!,WORLD WAR II MOVIES,$1600,1967: Charles Bronson & Jim Brown are 2 of the 12 angry men on a secret mission behind Nazi lines,The Dirty Dozen
2340,1994-11-04,Double Jeopardy!,DRAMA,$1000,"In February 1949 this actor originated the role of Willy Loman in ""Death of a Salesman""",Lee J. Cobb
3374,1999-04-15,Jeopardy!,FILM ROLES,$200,"This author can be seen as a beer-guzzling spectator in ""Knightriders"" & a truck driver in ""Creepshow 2""",Stephen King
2752,1996-07-16,Jeopardy!,EUROPEAN HISTORY,$800,"From 930-1262, this country's Althing served as both court & legislature",Iceland
4472,2004-02-03,Double Jeopardy!,"ELEMENT""S""",$1200,Plants absorb its isotope 90 generated by nuclear fallout,strontium
5042,2006-07-11,Jeopardy!,THE ROLES OF TOM CRUISE,$800,Navy lawyer Lt. Daniel Kaffee,A Few Good Men
5762,2009-10-06,Double Jeopardy!,MICROSOFT,"$2,000","(<a href=""http://www.j-archive.com/media/2009-10-06_DJ_23.wmv"">Sarah of the Clue Crew presses her palm to a scanner plate at a museum exhibit at Microsoft Research in Redmond, WA.</a>)  Futuristic research going on here on the Microsoft campus includes unlocking doors with this method, based on your physical characteristics, from the Greek for ""life"" & ""measure""",biometrics
110,1985-02-08,Jeopardy!,AUSTRALIA,$300,"""Satanic"" mammal found only on island S. of Australia",Tasmanian devil
5144,2007-01-11,Double Jeopardy!,YOU RULE!,$2000,King Bhumibol Adulyadej,Thailand
3494,1999-11-11,Jeopardy!,BOOKS & AUTHORS,$200,"In Frank Herbert titles, this word follows ""Children of"", ""Heretics of"" & ""God Emperor of""","""Dune"""
5619,2009-01-29,Jeopardy!,EXODUS,$600,"14: 16 says, ""And the children of Israel shall go on dry ground through the midst of the sea"" --this one",the Red Sea
5423,2008-03-19,Jeopardy!,"FOOD, GLORIOUS FOOD",$600,"In the 2004 presidential campaign, this candidate's wife promoted eating rabbit; with ketchup?",John Kerry
3588,2000-03-22,Jeopardy!,THE 7 WONDERS OF THE ANCIENT WORLD,$100,They were ancient even before the other 6 wonders were built,Pyramids
3857,2001-05-15,Jeopardy!,PRODUCT PLACEMENT,$400,"Business for these sunglasses wasn't risky after Tom Cruise wore them in ""Risky Business""",Ray-Ban
3718,2000-11-01,Double Jeopardy!,NEWSPAPER CITIES,$800,"The World-Herald, est. 1885",Omaha
4255,2003-02-14,Double Jeopardy!,WORLD GEOGRAPHY,$400,"At one point, this largest island in the world is only about 10 miles from Canada",Greenland
3738,2000-11-29,Jeopardy!,OFFICIAL STATE THINGS,$400,State tree: Black Hills Spruce,South Dakota
6092,2011-02-22,Jeopardy!,BIBLICAL PEOPLE,$200,"The Lord told him, ""Come thou and all thy house unto the ark""",Noah
4183,2002-11-06,Double Jeopardy!,18th CENTURY AMERICANS,$400,In 1775 he & a group of axmen cleared & marked the Wilderness Road for the Transylvania Company,Daniel Boone
2898,1997-03-19,Jeopardy!,SONGS,$100,"Bob Dylan asked him to ""Play a song for me, in the jingle jangle morning I'll come followin' you""",Mr. Tambourine Man
3665,2000-07-07,Double Jeopardy!,DUTCH TREATIES,$1000,A famous 18th century peace was signed at this city once called Ultrajectum,Utrecht
5595,2008-12-26,Jeopardy!,SINGERS' RHYME TIME,$400,"Reggae man Bob's ""hogs""",Marley's Harleys
3764,2001-01-04,Double Jeopardy!,TITLE LOVERS,$800,In a musical: Mack (Sennett) & this actress,Mabel (Norman)
5227,2007-05-08,Double Jeopardy!,GET TO WORK!,$800,The USA's biggest private employer is this chain of large discount stores with over 1.3 million employees,Wal-Mart
3392,1999-05-11,Jeopardy!,THE UNLUCKY 13th CENTURY,$300,"In 1282 friars in Palermo on this island were killed if they couldn't say ""Ciciri"" correctly in the local dialect",Sicily
5166,2007-02-12,Jeopardy!,SHAPE UP,$200,"According to the food pyramid, you should be eating more of the dark green & orange colors of these",vegetables
3682,2000-09-12,Double Jeopardy!,"EMBRACEABLE ""U""",$400,It's bordered by Kenya to the east & Sudan to the north,Uganda
5041,2006-07-10,Double Jeopardy!,HOME RUN SLUGGERS,$2000,"On July 15, 2005 this Oriole became just the fourth player to reach 3,000 hits & 500 home runs in a career",(Rafael) Palmeiro
4912,2006-01-10,Jeopardy!,NAME THAT MAJOR NEWSPAPER,$800,"Chicago, Tampa, San Diego Union-",Tribune
6022,2010-11-16,Double Jeopardy!,TV,$400,"Hayden Moss, who played baseball at ASU, stole home with $500,000 as the victorious houseguest on this CBS show",Big Brother
5940,2010-06-11,Jeopardy!,COUSTEAU,$200,"One of Cousteau's dreams was to use this to help power a modern ship; he achieved it with the <a href=""http://www.j-archive.com/media/2010-06-11_J_24.jpg"" target=""_blank"">""Alcyone""</a> & its turbo sail system",wind
3378,1999-04-21,Jeopardy!,ANIMAL ALBUM,$100,"This South American native has been domesticated for more than 4,000 years",Llama
4842,2005-10-04,Double Jeopardy!,"IT'S A ""SIN""",$1200,Carson Sink & the Great Salt Lake lie in the drainage area known as the Great this,Basin
3296,1998-12-28,Jeopardy!,KWANZAA,$400,The Kwanzaa feast table is decorated with one ear of corn for each of these in the household,children
1794,1992-05-21,Jeopardy!,ABBREVIATIONS,$400,"Meaning ""conversely"", V.V. is an abbreviation for this Latin phrase",vice versa
4642,2004-11-09,Jeopardy!,REMEMBER 1995?,$1000,"Opera fans said, ""Bravo!"" when ""Master Class"", a play about this diva, debuted in Philadelphia in 1995",Maria Callas
3418,1999-06-16,Double Jeopardy!,WHICH CAME FIRST?,$400,"Hadrian's Wall, the Wailing Wall, the Berlin Wall",the Wailing Wall
6149,2011-05-12,Jeopardy!,"IT'S ""MAY""!",$200,"On the small screen, Gomer & Opie lived there",Mayberry
5334,2007-11-15,Double Jeopardy!,WAR MOVIES,$1200,1970: An historically correct re-creation of Pearl Harbor,Tora! Tora! Tora!
3275,1998-11-27,Jeopardy!,TREATIES,$300,"Until the 18th century, European treaties were generally written in this language",Latin
2978,1997-07-09,Jeopardy!,FAMOUS FIRSTS,$200,Colonists got their first taste of popcorn at a dinner celebrating this holiday in 1621,Thanksgiving
3449,1999-09-09,Double Jeopardy!,EAT YOUR VEGGIES,$600,The pickle on your hamburger was made from this veggie (which is actually a fruit),Cucumber
2829,1996-12-12,Double Jeopardy!,THE 104TH CONGRESS,$200,"On Jan. 23, 1995 he signed the first bill passed by the 104th -- the Congressional Accountability Act",President Bill Clinton
2971,1997-06-30,Double Jeopardy!,COMMUNICATION,$200,In baseball this player changes his signals to the pitcher when there's a runner on second,Catcher
4520,2004-04-09,Jeopardy!,2-LETTER ABBREV.,"$5,000",This service was formed by 6 NYC newspapers in 1848,AP
499,1986-11-06,Double Jeopardy!,20TH CENTURY,$400,"There was talk in 1986 about repealing this amendment ratified February 26, 1951",22nd Amendment
3437,1999-07-13,Jeopardy!,LIVE FROM THE SCENE,$500,"In 1994 the Larry King special ""The UFO Cover-Up?"" broadcast live from this ""area""",Area 51
5209,2007-04-12,Double Jeopardy!,19th CENTURY AMERICANS,$2000,"Tthis Illinois girl died in 1835; in 1890, she was reburied in Petersburg, Ill. to drum up tourism there",Ann Rutledge
3257,1998-11-03,Double Jeopardy!,DYNASTY,$800,"Tran, Ngo, Dinh",Vietnam
4545,2004-05-14,Double Jeopardy!,WHAT EXIT ARE YA FROM?,$400,Exit 61B: I may be conservative on the Supreme Court but take me hunting & I shoot liberally,Justice Scalia
5071,2006-10-02,Jeopardy!,COLORFUL LANGUAGE,$600,"Swift-of-foot critter seen <a href=""http://www.j-archive.com/media/2006-10-02_J_15.jpg"" target=""_blank"">here</a>",a greyhound
780,1988-01-15,Jeopardy!,"STARTS WITH ""WH""",$500,"Questionable title of <a href=""http://www.j-archive.com/media/1988-01-15_J_27.mp3"">the following</a> 1972 hit:  <i>""You told me that you didn't love him / And you were going to say goodbye / But if you really didn't mean it / Why did you have to lie?...""</i>","""Where Is The Love"""
5183,2007-03-07,Jeopardy!,TOP 10 LISTS,$1000,"The top 10 fastest fish in the sea include the tiger shark, the sailfish & the bluefin variety of this food fish",the tuna
3424,1999-06-24,Jeopardy!,SPELLING CASTS,$100,"Tori Spelling, Shannen Doherty, Jason Priestley","Beverly Hills, 90210"
3860,2001-05-18,Jeopardy!,ASTRONOMY,$200,"Its perigee, the closest it can come to Earth, is 221,456 miles",The moon
5210,2007-04-13,Double Jeopardy!,THE ANSWER LIES WITHIN,$1200,"Overcome with emotion, the sheep is unable at the moment to make this customary sound",bleat
5669,2009-04-09,Jeopardy!,FORTUNE-TELLING,$600,"""It's only a game--isn't it?"" is a slogan of this board whose mysterious new version actually glows in the dark",a Ouija board
5638,2009-02-25,Double Jeopardy!,NOT TO BE CONFUSED,$1600,"The Willamette River runs through Eugene, Oregon; this title Pushkin character is a sort of Russian Don Juan",Eugene Onegin
3763,2001-01-03,Jeopardy!,DRUGS,$300,The administration of drugs was made much easier by this 1853 invention seen here,Hypodermic needle
3840,2001-04-20,Double Jeopardy!,THE KNIGHTS TEMPLAR,$800,Only Templar knights wore the distinctive white surcoats emblazoned with this symbol,Red cross
3025,1997-10-24,Double Jeopardy!,THE MOVIES,$800,"It's the last name of the family headed by Chevy Chase in the National Lampoon ""Vacation"" films",Griswold
3716,2000-10-30,Double Jeopardy!,SHAKESPEARE'S OPENING LINES,$600,"Theseus: ""Now, fair Hippolyta, our nuptial hour draws on apace""",A Midsummer Night's Dream
4325,2003-05-23,Jeopardy!,DRAWING A CROWD,$1000,"A figure is set on fire as part of this annual event that now draws 25,000 people to the Nevada desert",Burning Man Festival
4528,2004-04-21,Double Jeopardy!,TOO MUCH TIME ON THEIR HANDS,$2000,It took 5 days in 2003 for India to beat Australia in its first test match victory in Australia in this sport in 22 years,cricket
6035,2010-12-03,Double Jeopardy!,HOLLYWOOD TO BROADWAY,$1200,"(<a href=""http://www.j-archive.com/media/2010-12-03_DJ_29.jpg"" target=""_blank"">Hi, I'm Neil Patrick Harris.</a>) In 2004 I played Lee Harvey Oswald, one of the <a href=""http://www.j-archive.com/media/2010-12-03_DJ_29a.jpg"" target=""_blank"">characters</a> in this Stephen Sondheim musical",Assassins
3159,1998-04-30,Double Jeopardy!,PINPOINTS ON THE MAP,$1000,"Not Dayton, Ohio, but Dayton in this state was the site of the Scopes Monkey Trial",Tennessee
4536,2004-05-03,Jeopardy!,"DOUBLE A, B, Cs",$400,Last name of the comic page character seen here,Drabble
1887,1992-11-17,Jeopardy!,SAMS & SAMUELS,$500,He's Georgia's senior senator,Sam Nunn
3086,1998-01-19,Double Jeopardy!,THE NORTH PACIFIC,$1000,"At over 36,000 feet, it's the deepest spot in the North Pacific, or anywhere else on Earth",the Marianas Trench
2821,1996-12-02,Double Jeopardy!,MOUNTAINS,$1000,The Flinders Ranges in this country extend about 300 miles from near Port Pirie to near Lake Eyre,Australia
5400,2008-02-15,Jeopardy!,STATE NICKNAMES,$1000,"""The Pine Tree State""",Maine
5952,2010-06-29,Jeopardy!,SAME FIRST & LAST LETTER,$800,Pertaining to the lips,labial
2840,1996-12-27,Jeopardy!,CORPORATE AMERICA,$300,In 1995 it became the only U.S.-based express service with direct flights to China,Federal Express
3355,1999-03-19,Double Jeopardy!,MORE MYTHOLOGICAL MISTAKES,$1000,"The Pierides were turned into magpies after they challenged these ""artsy"" sisters to a singing contest & lost",Muses
5660,2009-03-27,Double Jeopardy!,THE DEAD SEA SCROLLS,$800,"The Scrolls were found by a shepherd boy in this year, 2 years after the end of a major war",1947
2978,1997-07-09,Double Jeopardy!,RULERS,$400,"During the Boer War, she said, ""We are not interested in the possibilities of defeat; they do not exist""",Queen Victoria
3467,1999-10-05,Jeopardy!,WAY TO GO,$300,One of Washington State's modes of execution; Nathan Hale & John Brown died that way,Hanging
4812,2005-07-05,Double Jeopardy!,SCIENCE,$800,"This largest nerve in the body arises in the sacral plexus, leaves the pelvis & runs down the thigh",the sciatic
663,1987-06-24,Double Jeopardy!,FOREIGN WORDS,$200,"Many Spanish-language newspapers are named ""La Prensa"", which means this",The Press
3662,2000-07-04,Jeopardy!,FOOD,$200,"Campbell's picked these, the school colors of Cornell University, for its label",red & white
3808,2001-03-07,Double Jeopardy!,CRIME-TIME TELEVISION,$1000,"""NYPD Blue"" premiered in 1993; 2 years later the other coast got this: ""Life on the Beat""",LAPD
6169,2011-06-09,Double Jeopardy!,ANIMAL NAMES,$1600,"This scarab relative, often seen at night, is named for the time of year when it's most prevalent",a junebug
3952,2001-11-06,Double Jeopardy!,"""PI""",$1000,It's a 7-letter term for an animal whose coat has patches of 2 or more colors,Piebald
5486,2008-06-16,Jeopardy!,THE AMERICAN REVOLUTION,$200,"On July 4, 1776 this head of the army was in New York preparing for a British attack",George Washington
3943,2001-10-24,Jeopardy!,FOOD & DRINK,$400,Add cherry brandy & seasonings to melted gruyere cheese & you'll have this classic dipping dish,fondue
5404,2008-02-21,Jeopardy!,THE OLYMPICS,$600,The longest race in the Summer Olympics is a walk of 50 of these metric units,kilometers
3528,1999-12-29,Double Jeopardy!,NOVEL TRILOGIES,$1000,"""Coningsby, or the New Generation"" is the 1st book in a trilogy he wrote before becoming a Victorian prime minister",Benjamin Disraeli
2581,1995-11-20,Double Jeopardy!,ZOOLOGY,$800,"In most cud-chewing animals, this is made up of the reticulum, rumen, omasum & abomasum",Stomach
3844,2001-04-26,Jeopardy!,49ers,$400,"Coach Red Hickey pioneered this formation, with the quarterback standing well behind the line to take the snap",Shotgun
6078,2011-02-02,Jeopardy!,BONES,$200,The parathyroid glands regulate this element essential to bone health,calcium
3266,1998-11-16,Double Jeopardy!,10-LETTER COUNTRIES,"$2,000",This grand duchy is actually smaller than the same-named Belgian province it borders,Luxembourg
4600,2004-09-10,Double Jeopardy!,ASTRONOMY,$2000,A large crater on Saturn’s moon Mimas is named for the British astronomer who discovered the moon in 1789,William Herschel
5000,2006-05-12,Double Jeopardy!,20th CENTURY FOREIGNERS,$1200,"Born Garry Weinstein in Baku, Azerbaijan in 1963, he ""checks"" in under this name",Kasparov
3261,1998-11-09,Double Jeopardy!,BRAHMINS,$200,"The Brahmins are at the top of this hierarchical ""system"" most associated with India",Caste system
3260,1998-11-06,Jeopardy!,SPORTS SUPERSTARS,$300,In 1997 this 16-year-old Swiss miss became the youngest in the 20th century to win at Wimbledon,Martina Hingis
3754,2000-12-21,Double Jeopardy!,TELEVISION,$600,"In 2000 Mary Tyler Moore & this actress reunited for the TV movie ""Mary and Rhoda""",Valerie Harper
4246,2003-02-03,Double Jeopardy!,"""PE"" CLASS",$2000,In mythology she's the faithful & patient wife of Odysseus,Penelope
3086,1998-01-19,Double Jeopardy!,3-SYLLABLE WORDS,$1000,"The name of this piece of direct mail advertising means ""indirect""",Circular
3978,2001-12-12,Double Jeopardy!,LANDLOCKED COUNTRIES,$1200,The capital of this grand duchy is the seat of the Court of Justice of the European Communities,Luxembourg
4722,2005-03-01,Jeopardy!,HARLEM GLOBETROTTIN',$200,"In a TV movie, the Globetrotters crash-landed on an island where they visited the cast of this '60s sitcom",Gilligan's Island
1271,1990-02-26,Jeopardy!,FAMOUS FOLKS,$400,World Book's photo of Carry Nation shows her with a Bible in one hand & this in the other,Hatchet
759,1987-12-10,Double Jeopardy!,CLASSIC CINEMA,$400,"In 1915 film, ""Birth of a Nation"", Joseph Henabery played this president",Abraham Lincoln
2823,1996-12-04,Jeopardy!,BITTER BATTLES,$500,"The recapture of Antwerp was a goal of this 1944-45 battle, Germany's last great offensive in the West",Battle of the Bulge
6018,2010-11-10,Jeopardy!,LADY ANTEBELLUM,$200,"Ladies wore this headgear that ties under the chin, like the tunnel vision-inducing ""coal scuttle"" type",a bonnet
5736,2009-07-13,Double Jeopardy!,ON THE BOOKSHELF,$800,"In books by Jeff Kinney, Greg Heffley writes the ""Diary of"" this title type of ""Kid""",Wimpy
4269,2003-03-06,Jeopardy!,AROUND THE GLOBE,$200,"Useful in navigation because it's unaffected by magnetism, a gyrocompass points toward this location",North Pole
6059,2011-01-06,Double Jeopardy!,SEASONAL QUOTES,$800,"In 1864 at Spotsylvania, this Union General vowed ""to fight it out on this line, if it takes all summer""",Ulysses Grant
5958,2010-07-07,Jeopardy!,SPELL IT OUT FOR ME,$800,The written note from a doctor to a pharmacist telling what medicine you need,P-R-E-S-C-R-I-P-T-I-O-N
5515,2008-07-25,Double Jeopardy!,GREEK ALPHABET SOUP,$1200,Charlton Heston played a survivor of an apocalyptic war in this 1971 thriller,Omega Man
3023,1997-10-22,Double Jeopardy!,THE NOBEL PRIZE,$1000,The Royal Caroline Institute in Stockholm awards the Nobel Prize in this category,Medicine
3102,1998-02-10,Jeopardy!,REEL MOTHERS,$500,"Bill Cosby, Raquel Welch & Harvey Keitel play this title trio in a movie about an ambulance service","Mother, Jugs & Speed"
4199,2002-11-28,Double Jeopardy!,"GONE BUT NOT FORGOTTEN, 2001",$1600,"A former actor, he made millions penning bestsellers like ""The Osterman Weekend"" & ""The Gemini Contenders""",Robert Ludlum
5926,2010-05-24,Jeopardy!,GAP,$600,Alaska's Little Diomede Island is a scant 2 1/2 miles away from this country,Russia
5208,2007-04-11,Jeopardy!,ROCK,$1000,You'll find this geological attraction about 280 miles from Alice Springs,Ayers Rock
5378,2008-01-16,Double Jeopardy!,TREE PEOPLE,"$2,000","Siebold's is one type of this conifer, unrelated to the poisonous plant",hemlock
11,1984-09-24,Jeopardy!,POTENT POTABLES,$300,This 19th century Philadelphia distiller's name became slang for liquor,Booze
